Timestamp,ID,Name,Latitude,Longitude,Category,Type,Amount,"Standardized Rate (6,000 Gallons / Month)",Standardized Rate (Dashboard Widget)
10/9/2025,1,Oklahoma City,35.46755,-97.52065,Monthly Meter Base Charge,"5/8"" meter",$20.10 ,$48.96 ,48.96
10/9/2025,1,Oklahoma City,35.46755,-97.52065,Monthly Meter Base Charge,"3/4"" meter",$24.74 ,,
10/9/2025,1,Oklahoma City,35.46755,-97.52065,Monthly Meter Base Charge,"1"" meter",$44.17 ,,
10/9/2025,1,Oklahoma City,35.46755,-97.52065,"Volume Rate (per 1,000 gallons)","0-2,000 gallons",$3.75 ,,
10/9/2025,1,Oklahoma City,35.46755,-97.52065,"Volume Rate (per 1,000 gallons)","2,001-10,000 gallons",$5.34 ,,
10/9/2025,1,Oklahoma City,35.46755,-97.52065,"Volume Rate (per 1,000 gallons)","10,0001-25,000 gallons",$7.45 ,,
10/9/2025,1,Oklahoma City,35.46755,-97.52065,"Volume Rate (per 1,000 gallons)","Above 25,000 gallons",$9.95 ,,
10/9/2025,2,Tulsa,36.15518,-95.98954,Monthly Meter Base Charge,"3/4"" meter",$7.36 ,$34.78 ,34.78
10/9/2025,2,Tulsa,36.15518,-95.98954,Monthly Meter Base Charge,"1"" meter",$10.57 ,,
10/9/2025,2,Tulsa,36.15518,-95.98954,Monthly Meter Base Charge,"1-1/2"" meter",$16.68 ,,
10/9/2025,2,Tulsa,36.15518,-95.98954,"Volume Rate (per 1,000 gallons)",Single Family Residential,$4.57 ,,
10/9/2025,3,Stillwater,36.11393,-97.05681,Monthly Base Charge,3/4 inch meter,$10.59 ,$74.64 ,74.64
10/9/2025,3,Stillwater,36.11393,-97.05681,Monthly Base Charge,1 inch meter,$21.44 ,,
10/9/2025,3,Stillwater,36.11393,-97.05681,Monthly Base Charge,1 1/2 inches meter,$43.73 ,,
10/9/2025,3,Stillwater,36.11393,-97.05681,"Volume Rate at 3/4 inch meter (per 1,000 gallons)","up to 5,000 gallons",$10.59 ,,
