Timestamp,ID,Name,Latitude,Longitude,Category,Type,Amount,"Standardized Rate (6,000 Gallons / Month)",Standardized Rate (Dashboard Widget)
04-01-2026,3,Stillwater,36.11393,-97.05681,Monthly Meter Base Charge,3/4 inch meter,$10.59,$74.64,74.64
04-01-2026,3,Stillwater,36.11393,-97.05681,Monthly Meter Base Charge,1 inch meter,$21.44,,
04-01-2026,3,Stillwater,36.11393,-97.05681,Monthly Meter Base Charge,1 1/2 inches meter,$43.73,,
04-01-2026,3,Stillwater,36.11393,-97.05681,Volume Rate at 3/4 inch meter,"up to 5,000 gallons",$10.59,,
04-01-2026,3,Stillwater,36.11393,-97.05681,Volume Rate at 3/4 inch meter,"5,000 - 12,000 gallons",$11.10,,
04-01-2026,3,Stillwater,36.11393,-97.05681,Volume Rate at 3/4 inch meter,"greater than 12,000 gallons",$12.38,,
04-01-2026,3,Stillwater,36.11393,-97.05681,Volume Rate at 1 inch meter,"up to 15,000 gallons",$10.59,,
04-01-2026,3,Stillwater,36.11393,-97.05681,Volume Rate at 1 inch meter,"15,000 - 33,000 gallons",$11.10,,
04-01-2026,3,Stillwater,36.11393,-97.05681,Volume Rate at 1 inch meter,"greater than 33,000 gallons",$12.38,,
04-01-2026,3,Stillwater,36.11393,-97.05681,Volume Rate at 1 1/2 inches or larger meter,"per 1,000 gallons",$10.80,,
04-01-2026,8,Edmond,35.65488,-97.48011,Monthly Meter Base Charge,"5/8, 3/4, & Multi Family",$17.88,$62.18,62.17999999999999
04-01-2026,8,Edmond,35.65488,-97.48011,"Volume Rate (per 1,000 gallons)","2,000 to 10,000 gallons",$8.86,,
04-01-2026,8,Edmond,35.65488,-97.48011,"Volume Rate (per 1,000 gallons)","11,000 to 20,000 gallons",$10.24,,
04-01-2026,8,Edmond,35.65488,-97.48011,"Volume Rate (per 1,000 gallons)","21,000 & over gallons",$12.79,,
04-01-2026,11,Piedmont,35.6524,-97.74925,"Volume Rate (per 1,000 gallons)","0-2,000 gallons",$29.79,$66.39,66.39
04-01-2026,11,Piedmont,35.6524,-97.74925,"Volume Rate (per 1,000 gallons)","2,001-10,000 gallons",$9.15,,
